,Accuracy,Precision,Recall,F1,ROC-AUC
KNN,0.6719632633368331,0.6747313200453455,0.7286911202097037,0.700666094132407,0.7302557056733223
SVM,0.7115728318584071,0.7128239225037929,0.7579571254061167,0.7346902837475209,0.7795707934333727
MLP,0.7119228568571572,0.7054565203139016,0.7836347883326586,0.7409776110097676,0.7903789362740947
XGBoost,0.715972827858607,0.7302674950253236,0.7309116842343529,0.7305864739968322,0.7905429425249806
