Accuracy,Precision,Recall,F1,ROC-AUC,best_params
0.7143142842857857,0.6921606118546845,0.8244448661985196,0.7525335643135557,0.7961332935236349,"{'activation': 'relu', 'hidden_layer_sizes': (100,)}"
0.7187,0.7407588979311697,0.7169972477934896,0.7286844135802469,0.7920134512692907,"{'activation': 'relu', 'hidden_layer_sizes': (50,)}"
0.7151,0.7221406278685515,0.7465363446574302,0.7341358715938783,0.7917713947959533,"{'activation': 'relu', 'hidden_layer_sizes': (100,)}"
0.70825,0.6955509355509355,0.7936989941165307,0.7413907725036565,0.7841623308168095,"{'activation': 'relu', 'hidden_layer_sizes': (50,)}"
0.70325,0.6766715283641668,0.836496488897324,0.7481434330575005,0.7878142109647849,"{'activation': 'relu', 'hidden_layer_sizes': (100,)}"
